rank,brand,brand_ar,name_en,name_ar,rating,longevity,projection,year,price_ref,keyword_ar,keyword_en
1610,Yves Saint Laur,ايف سان لوران,Y Iced LAURENT,واي آيسد,4.23,3.5,2.7,2025,545,عطر واي آيسد,Y Iced LAURENT
1611,Acqua Di Parma,اكوا دي بارما,di Buongiorno,بونجورنوا اودي,4.43,3.2,2.6,2025,15,عطر بونجورنوا اودي,di Buongiorno
1612,PENHALIGONS,بنهاليغونز,Agarbathi Penhaligon's,بنهاليغنز تريد روتس أجارباثي,4.13,3.3,3.1,2017,680,عطر بنهاليغنز تريد روتس أجارباثي,Agarbathi Penhaligon's
1613,AMOUAGE,امواج,Meander,مايندر,4.12,3.6,2.8,2020,260,عطر مايندر,Meander
1614,AMOUAGE,امواج,Search,سيرش دى بيرفيوم,3.97,3.7,3,2023,1180,عطر سيرش دى بيرفيوم,Search
1615,Aramis,اراميس,Devin,ديفين,4.12,3.4,3,1977,250,عطر ديفين,Devin
1616,Balmain,بالمان,Ambre Gris,امبر جريس,4.12,3.5,2.9,2008,360,عطر امبر جريس,Ambre Gris
1617,Boadicea,بوديسيا ذا فيكتوريوس,THE VICTORIOUS Consort,كونسورت,4.27,3.3,2.8,2016,20,عطر كونسورت,THE VICTORIOUS Consort
1618,Carolina Herra,كارولينا هيريرا,Herrera Bad Boy Cobalt Electrique,باد بوي كوبالت,4.32,3.3,2.7,2022,390,عطر باد بوي كوبالت,Herrera Bad Boy Cobalt Electrique
1619,Etienne Aigner,اجنر,Starlight,ستار لايت,3.92,3.6,3.2,2008,195,عطر ستار لايت,Starlight
1620,Etro,ايترو,- MANROSE,مان روز,4.22,3.2,3,2017,400,عطر مان روز,- MANROSE
1621,Etro,ايترو,ManRose,مان روز,4.22,3.2,3,2017,430,عطر مان روز,ManRose
1622,Ex Nihilo,اكس نيهيلو,Outcast Blue Ex,اوتكاست بلو برفان,3.97,3.7,3,2019,24,عطر اوتكاست بلو برفان,Outcast Blue Ex
1623,Guerlain,غيرلان,Frenchy,لو فرنشي,4.07,3.4,3.1,2017,22,عطر لو فرنشي,Frenchy
1624,Kenzo,كنزو,Homme,هوم,4.07,3.5,3,1991,470,عطر هوم,Homme
1625,Kenzo,كنزو,pour Homme,كينزو بور أوم,4.07,3.5,3,1991,270,عطر كينزو بور أوم,pour Homme
1626,Lalique,لاليك,Encre Noire Al'Extreme,انكر نوار اكستريم,4.22,3.4,2.8,2015,8,عطر انكر نوار اكستريم,Encre Noire Al'Extreme
1627,Laurent Mazzone,لورنت مازون,Hysteric,لورين هيستريك,3.97,3.6,3.1,2018,970,عطر لورين هيستريك,Hysteric
1628,Mont Blanc,مونت بلانك,Montblanc Extreme Leather Montblanc,اكستريم لذر,4.32,3.3,2.7,2024,580,عطر اكستريم لذر,Montblanc Extreme Leather Montblanc
1629,Montale,مونتال,Bakhoor,بخور,3.87,3.7,3.2,2018,310,عطر بخور,Bakhoor
1630,ONCE,وانس,Upon a Time Francesca Bianchi,فرانشيسكا بيانكي ونس اوبن ذا تايم إكتسريت,3.97,3.7,3,2025,16,عطر فرانشيسكا بيانكي ونس اوبن ذا تايم إكتسريت,Upon a Time Francesca Bianchi
1631,PENHALIGONS,بنهاليغونز,Constantinople Penhaligon's,بنهاليغنز القسطنطينية,4.07,3.6,2.9,2021,17,عطر بنهاليغنز القسطنطينية,Constantinople Penhaligon's
1632,The Woods,ذا وودز كوليكشن,Collection Eclipse Parfum,كولكشن إكليبس,3.97,3.6,3.1,,10,عطر كولكشن إكليبس,Collection Eclipse Parfum
1633,Tom Daxon,توم داكسون,Absolute,أبسولوت,3.92,3.4,3.4,2013,10,عطر أبسولوت,Absolute
1634,V Canto,في كانتو,Stramonio V,سترامونيا إكستراكت,3.97,3.4,3.3,2018,550,عطر سترامونيا إكستراكت,Stramonio V
1635,Van Cleef,فان كليف اند اربلز,Precious Oud & Arpels,آربيلز بريشس عود,4.07,3.4,3.1,2011,440,عطر آربيلز بريشس عود,Precious Oud & Arpels
1636,XERJOFF,زيرجوف,Decas,ديكاس,4.02,3.7,2.9,2021,650,عطر ديكاس,Decas
1637,Alghabra,الغبرا,Neva Winged Lions Parfums,نيفا وينجيد لايونز,4.11,3.6,2.8,2022,25,عطر نيفا وينجيد لايونز,Neva Winged Lions Parfums
1638,Aramis,اراميس,Modern Leather,مودرن ليذر,4.11,3.4,3,2017,230,عطر مودرن ليذر,Modern Leather
1639,Atkinsons,اتكينسونس,Her Majesty The Oud,أتكينسونس هيز ماجيستي ذا عود,4.11,3.4,3,2016,480,عطر أتكينسونس هيز ماجيستي ذا عود,Her Majesty The Oud
1640,BYREDO,بيريدو,Tobacco Mandarin,توباكو مندرين,3.81,3.7,3.3,2020,690,عطر توباكو مندرين,Tobacco Mandarin
1641,Bentley,بنتلي,Black Edition,فور مين بلاك إديشين,4.16,3.4,2.9,2018,190,عطر فور مين بلاك إديشين,Black Edition
1642,Burberry,بربري,Touch,تاتش الرجالي,4.01,3.4,3.2,2000,6,عطر تاتش الرجالي,Touch
1643,Gres,جريس,Dior Gris Doir,ديور,4.21,3.4,2.8,2017,240,عطر ديور,Dior Gris Doir
1644,Hermes,هيرمس,L'ambre Des Merveilles,لامبر ميرفيل,4.16,3.4,2.9,2012,12,عطر لامبر ميرفيل,L'ambre Des Merveilles
1645,Ormonde Jayne,اورموند جين,Montabaco Aruba 2025 and men,ارموند مونتباكو اروبا,4.26,3.4,2.7,2025,850,عطر ارموند مونتباكو اروبا,Montabaco Aruba 2025 and men
1646,PENHALIGONS,بنهاليغونز,The Bewitching Yasmine Penhaligon's,بنهاليغنز ذا بويتشنج ياسمين,4.11,3.4,3,2017,950,عطر بنهاليغنز ذا بويتشنج ياسمين,The Bewitching Yasmine Penhaligon's
1647,TOM FORD,توم فورد,Grey Vetiver,جراي فيتيفر,4.26,3.4,2.7,2009,15,عطر جراي فيتيفر,Grey Vetiver
1648,A Lab on Fire,ايه لاب اون فاير,L'Anonyme ou OP-1475-A What We Do Is Secret,لانونيوم,4.01,3.6,3,2011,450,عطر لانونيوم,L'Anonyme ou OP-1475-A What We Do Is Secret
1649,AMOUAGE,امواج,Blossom Love,بلوسم لوف للشعر,3.61,3.9,3.5,2017,330,عطر بلوسم لوف للشعر,Blossom Love
1650,ATELIER DES ORS,اتيليه دي اورس,Larmes du Desert,ديس لارم ديزير,4.06,3.5,3,2015,15,عطر ديس لارم ديزير,Larmes du Desert
1651,Diptyque,ديبتيك,Eau Capitale,كابيتال,4.06,3.5,3,2019,17,عطر كابيتال,Eau Capitale
1652,Humbert Lucas,همبرت لوكاس,STEPHANE 777 OUMMA,ستيفن أوما,4.01,3.5,3.1,2013,1000,عطر ستيفن أوما,STEPHANE 777 OUMMA
1653,Mugler,موغلر,Thierry Chyprissime,تيري شيبريسيم,4.06,3.5,3,2014,550,عطر تيري شيبريسيم,Thierry Chyprissime
1654,Olfattivo,لابوراتوريو,Patchouliful - Labratorio,باتشوليفل ادو,4.01,3.6,3,2014,190,عطر باتشوليفل ادو,Patchouliful - Labratorio
1655,Ralph Lauren,رالف لورين,Safari,سفاري,4.26,3.2,2.9,1992,300,عطر سفاري,Safari
1656,Rosendo Mateu,روسيندو ماتيو,No. 4 Saffron Oud Vanilla,نمبر,3.96,3.6,3.1,2017,350,عطر نمبر,No. 4 Saffron Oud Vanilla
1657,Rosendo Mateu,روسيندو ماتيو,Saffron Oud Vanilla,نمبر سافرون عود فانيلا,3.96,3.6,3.1,2017,200,عطر نمبر سافرون عود فانيلا,Saffron Oud Vanilla
1658,Rosendo Mateu,روسيندو ماتيو,Saffron Oud Vanilla 100m,نمبر سافرون عود فانيلا,3.96,3.6,3.1,2017,650,عطر نمبر سافرون عود فانيلا,Saffron Oud Vanilla 100m
1659,Santi Burgas,سانتي بورجاس,Lojazz,لوجاز,3.86,3.4,3.5,2013,480,عطر لوجاز,Lojazz
1660,XERJOFF,زيرجوف,Don,جوين ذا كلوب دون,4.01,3.7,2.9,2013,20,عطر جوين ذا كلوب دون,Don
1661,Bentley,بنتلي,Silverlake,سلفر ليك,4.31,3.3,2.7,2020,230,عطر سلفر ليك,Silverlake
1662,BVLGARI,بولغاري,Gemme Noorah,لو جيم نورا,3.9,3.6,3.2,2014,790,عطر لو جيم نورا,Gemme Noorah
1663,CREED,كريد,Aventus 10th Anniversary,افينتوس انيفيرساري العاشر الرجالي,4.3,3.2,2.8,2020,1170,عطر افينتوس انيفيرساري العاشر الرجالي,Aventus 10th Anniversary
1664,Guerlain,غيرلان,Vol De Nuit pour femme,جيرلان فول نوي,4.4,3,2.8,1933,380,عطر جيرلان فول نوي,Vol De Nuit pour femme
1665,Lalique,لاليك,Hommage A l'Homme,هوماج لي هوم الرجالي,3.9,3.6,3.2,2011,180,عطر هوماج لي هوم الرجالي,Hommage A l'Homme
1666,Masque Milano,ماسك ميلانو,Times Square,تايمز سكوير,3.8,3.7,3.3,2017,18,عطر تايمز سكوير,Times Square
1667,Nishane,نيشاني,Ve,فاين اند ناييف,3.8,3.7,3.3,2018,440,عطر فاين اند ناييف,Ve
1668,Paco Rabanne,باكو رابان,One Million Parfum,ون مليون الرجالي,3.45,3.9,3.8,2008,350,عطر ون مليون الرجالي,One Million Parfum
1669,Paco Rabanne,باكو رابان,Phantom Intense,فانتوم إنتنس,4.15,3.5,2.8,2024,430,عطر فانتوم إنتنس,Phantom Intense
1670,Ralph Lauren,رالف لورين,Polo Supreme Cashmere,بولو سوبريم كشمير,4.15,3.3,3,2017,370,عطر بولو سوبريم كشمير,Polo Supreme Cashmere
1671,Alexandre,الكسندر ماكويين,Oscent Pink .J,جيه اوسينت بينك,3.8,3.4,3.6,2012,11,عطر جيه اوسينت بينك,Oscent Pink .J
1672,Atelier Flou,اتيلير فلو,Katana,كاتانا,4.25,3.2,2.9,,490,عطر كاتانا,Katana
1673,BVLGARI,بولغاري,Gemme Malakeos,لي جيم مالاكيوس,4.2,3.3,2.9,2016,25,عطر لي جيم مالاكيوس,Gemme Malakeos
1674,BVLGARI,بولغاري,Gemme Maravilla,لو جيم مارافيلا,3.8,3.6,3.4,2014,650,عطر لو جيم مارافيلا,Gemme Maravilla
1675,Burberry,بربري,Brit Rhythm,بريت ريذم الاسود الرجالي,3.7,3.8,3.4,2014,270,عطر بريت ريذم الاسود الرجالي,Brit Rhythm
1676,Carolina Herra,كارولينا هيريرا,Maison Lancome Mille et Une Roses,لانكوم روز الازرق,3.75,3.6,3.5,2022,750,عطر لانكوم روز الازرق,Maison Lancome Mille et Une Roses
1677,Caron,كارون,AIMEZ MOI,اميز مول,4.1,3.3,3.1,1996,16,عطر اميز مول,AIMEZ MOI
1678,Diptyque,ديبتيك,Orpheon,اورفيون,4.3,3.4,2.6,2021,750,عطر اورفيون,Orpheon
1679,Dolce Gabbana,دولتشي غابانا,& Pour Femme Intense,بور فيمي انتنس,3.8,3.6,3.4,2013,290,عطر بور فيمي انتنس,& Pour Femme Intense
1680,FREDERIC MALLE,فريدريك مال,Lipstick Rose,ليب ستيك روز,4.05,3.5,3,2000,1000,عطر ليب ستيك روز,Lipstick Rose
1681,Giorgio Armani,ارماني,Acqua Di Gio Absolu Instinct,اكوا جيو ابسولو انستنكت الرجالي,3.75,3.6,3.5,2019,370,عطر اكوا جيو ابسولو انستنكت الرجالي,Acqua Di Gio Absolu Instinct
1682,Givenchy,جيفنشي,Very Irresistible Intense,فيري ارزسستبل انتنس,3.7,3.6,3.6,2011,200,عطر فيري ارزسستبل انتنس,Very Irresistible Intense
1683,Givenchy,جيفنشي,Vetyver,فيتيفر,4,3.6,3,2007,210,عطر فيتيفر,Vetyver
1684,Guerlain,غيرلان,Shalimar Souffle de Parfum,شاليمار,3.85,3.5,3.4,2014,290,عطر شاليمار,Shalimar Souffle de Parfum
1685,J.F.,جي أف شوارزلوس برلين,Treffpunkt 8 Uhr J.F. Schwarzlose Berlin,اف ترفبنكت يو اتش آر,3.8,3.6,3.4,2012,650,عطر اف ترفبنكت يو اتش آر,Treffpunkt 8 Uhr J.F. Schwarzlose Berlin
1686,JeanPaulGaultie,جان بول غولتير,Jean Paul Gaultier Le Male Le Parfum Intense,لومال لي انتنس,4,3.6,3,1995,390,عطر لومال لي انتنس,Jean Paul Gaultier Le Male Le Parfum Intense
1687,JeanPaulGaultie,جان بول غولتير,Male Jean Paul Gaultier,لومال الرجالي,4,3.6,3,1995,9,عطر لومال الرجالي,Male Jean Paul Gaultier
1688,Kilian,كيليان,Woman in Gold BY,باي وومن ان قولد,4,3.5,3.1,2017,20,عطر باي وومن ان قولد,Woman in Gold BY
1689,Masque Milano,ماسك ميلانو,L'Attesa,لاتيسا,4.05,3.6,2.9,2016,650,عطر لاتيسا,L'Attesa
1690,Paco Rabanne,باكو رابان,Invictus Aqua,انفكتوس اكوا,3.7,3.6,3.6,2016,250,عطر انفكتوس اكوا,Invictus Aqua
1691,Parfums de Marly,مارلي,Galloway,جالواي,4.05,3.6,2.9,2014,250,عطر جالواي,Galloway
1692,TizianaTerenzi,تيزيانا تيرينزي,Andromeda TIZIANA TERENZI,اندروميدا,3.65,3.8,3.5,2015,16,عطر اندروميدا,Andromeda TIZIANA TERENZI
1693,YSL,ايف سان لوران,Yves Saint Laurent Mon Paris,مون باريس,3.8,3.6,3.4,2016,450,عطر مون باريس,Yves Saint Laurent Mon Paris
1694,Yves Saint Laur,ايف سان لوران,Laurent Opium,اوبيوم النسائي,3.6,3.8,3.6,2014,480,عطر اوبيوم النسائي,Laurent Opium
1695,Giorgio Armani,ارماني,Eau de Cedre,سيدار الاخضر,4.3,3.3,2.7,2015,13,عطر سيدار الاخضر,Eau de Cedre
1696,M Micallef,ميكاليف,M. Akowa,أكوا,3.8,3.8,3.2,2015,370,عطر أكوا,M. Akowa
1697,Montale,مونتال,Day Dreams,داي دريم,3.55,3.8,3.7,2017,200,عطر داي دريم,Day Dreams
1698,PENHALIGONS,بنهاليغونز,Lothair Penhaligon's,بنهاليغنز لوثير,4.3,3.3,2.7,2014,800,عطر بنهاليغنز لوثير,Lothair Penhaligon's
1699,Parfums de Marly,مارلي,Sedbury,سيدبيري النسائي,3.55,3.8,3.7,2015,620,عطر سيدبيري النسائي,Sedbury
1700,Lancome,لانكوم,Santal Kardamon,ميسون سانتال كاردامون,3.89,3.5,3.3,2018,12,عطر ميسون سانتال كاردامون,Santal Kardamon
1701,Parfums de Marly,مارلي,Greenley,جرينلي,4.19,3.5,2.7,2020,255,عطر جرينلي,Greenley
1702,Acqua Di Parma,اكوا دي بارما,Colonia Ambra di,امبرا,4.09,3.4,3,2015,850,عطر امبرا,Colonia Ambra di
1703,Atkinsons,اتكينسونس,Gold Fair in Mayfair,جولد فير إن مايفير من,4.09,3.4,3,2018,200,عطر جولد فير إن مايفير من,Gold Fair in Mayfair
1704,Atkinsons,اتكينسونس,The Other Side of Oud,أتكينسونس ذا أوذر سايد أوف عود,3.94,3.6,3.1,2019,480,عطر أتكينسونس ذا أوذر سايد أوف عود,The Other Side of Oud
1705,BYREDO,بيريدو,Vanille Antique,فانيل انتيك,4.04,3.6,2.9,2022,25,عطر فانيل انتيك,Vanille Antique
1706,Boadicea,بوديسيا ذا فيكتوريوس,Monarch THE VICTORIOUS,مونارك,3.99,3.5,3.1,2015,16,عطر مونارك,Monarch THE VICTORIOUS
1707,Burberry,بربري,My,ماي,3.79,3.6,3.4,2014,360,عطر ماي,My
1708,Chopard,شوبارد,Amber Malaki,عنبر ملكي,4.09,3.5,2.9,2015,270,عطر عنبر ملكي,Amber Malaki
1709,FREDERIC MALLE,فريدريك مال,Ric .,اكني ستوديوز,3.94,3.6,3.1,2024,868,عطر اكني ستوديوز,Ric .
1710,Francesca Bia,فرانشيسكا بيانكي,Musk - Extrait - Bianchi,مسك,3.94,3.8,2.9,2022,470,عطر مسك,Musk - Extrait - Bianchi
1711,Giorgio Armani,ارماني,Indigo Tanzanite,جورجيو إنديجو تنزانيت,3.99,3.6,3,2022,17,عطر جورجيو إنديجو تنزانيت,Indigo Tanzanite
1712,Gucci,قوتشي,A Midnight Stroll,ميدنايت سترول,4.14,3.4,2.9,2020,1100,عطر ميدنايت سترول,A Midnight Stroll
1713,MEMO PARIS,ميمو باريس,Irish Leather,ايريش ليذر,3.99,3.6,3,2013,500,عطر ايريش ليذر,Irish Leather
1714,MEMO PARIS,ميمو باريس,Irish Leather Hair,كويرس نومادز أيريش ليذر للشعر,3.99,3.6,3,2013,280,عطر كويرس نومادز أيريش ليذر للشعر,Irish Leather Hair
1715,Olfattivo,لابوراتوريو,Alambar - Labratorio,الامبر ادو,4.04,3.6,2.9,2010,485,عطر الامبر ادو,Alambar - Labratorio
1716,Pana Dora,بانا دورا,Livet Vatten,ليفيت فاتن,3.74,3.5,3.6,2019,240,عطر ليفيت فاتن,Livet Vatten
1717,Parfums de Marly,مارلي,Kalan,كالان,3.64,3.9,3.4,2019,250,عطر كالان,Kalan
1718,Tauer Perfumes,اندي تاور,Heraud,هيرود الكسير,3.89,3.7,3.1,2024,26,عطر هيرود الكسير,Heraud
1719,Thomas Kosmala,توماس كوسمالا,No. 12,رقم عود دوز,4.09,3.5,2.9,2018,450,عطر رقم عود دوز,No. 12
1720,Versace,فرزاتشي,Dreamer The Original,ذا دريمر,4.09,3.5,2.9,1996,215,عطر ذا دريمر,Dreamer The Original
1721,Etro,ايترو,Udaipur,اودايبور,4.14,3.3,3,2018,590,عطر اودايبور,Udaipur
1722,Gucci,قوتشي,Flora 1966,فلورا الاسود,3.94,3.5,3.2,2010,285,عطر فلورا الاسود,Flora 1966
1723,Lalique,لاليك,Ombre Noire,اومبر نوار الرجالي,4.34,3.2,2.7,2017,8,عطر اومبر نوار الرجالي,Ombre Noire
1724,Dior,كريستيان ديور,Homme,هوم,4.23,3.4,2.7,2020,220,عطر هوم,Homme
1725,Dior,كريستيان ديور,Homme 2020,هوم الاصدار الجديد,4.23,3.4,2.7,2020,13,عطر هوم الاصدار الجديد,Homme 2020
1726,Dior,كريستيان ديور,Homme 2022,اوم,4.23,3.4,2.7,2020,12,عطر اوم,Homme 2022
1727,Dior,كريستيان ديور,Homme Parfum,هوم,4.23,3.4,2.7,2020,14,عطر هوم,Homme Parfum
1728,Dior,كريستيان ديور,Homme Parfum 2025,هوم الاصدار الجديد,4.23,3.4,2.7,2020,600,عطر هوم الاصدار الجديد,Homme Parfum 2025
1729,AMOUAGE,امواج,Lustre and men,لوستر اسنس,3.88,3.7,3.1,2024,1250,عطر لوستر اسنس,Lustre and men
1730,Boadicea,بوديسيا ذا فيكتوريوس,Glorious THE VICTORIOUS,جلوريوس,4.03,3.4,3.1,2012,750,عطر جلوريوس,Glorious THE VICTORIOUS
1731,Carolina Herra,كارولينا هيريرا,Good Girl Blush Elixir Herrera,جود جيرل بلوش اليكسير,4.03,3.5,3,2024,480,عطر جود جيرل بلوش اليكسير,Good Girl Blush Elixir Herrera
1732,Givenchy,جيفنشي,Live Irresistible,لايف ارزيستبل,3.78,3.6,3.4,2015,310,عطر لايف ارزيستبل,Live Irresistible
1733,Histoires De Parfums,هيستورا,Moulin Rouge,هيستوريس مولان روج النسائي,4.03,3.5,3,2010,680,عطر هيستوريس مولان روج النسائي,Moulin Rouge
1734,Imaginaires,ليكويد اماجينيرز,Desert Suave Les Liquides,ديزرت سواف,3.93,3.6,3.1,2018,690,عطر ديزرت سواف,Desert Suave Les Liquides
1735,Jesus Del Pozo,خيسوس دل بوزو,Gold Tuberose Nights,جي ديل جولد توبيروز نايتس,3.58,3.8,3.6,2020,295,عطر جي ديل جولد توبيروز نايتس,Gold Tuberose Nights
1736,Korloff,كورلوف,Silver Wood Paris,سيلفر وود,3.98,3.5,3.1,2016,215,عطر سيلفر وود,Silver Wood Paris
1737,MEMO PARIS,ميمو باريس,Shams Narcissus,شمس نارسيسوس,3.73,3.6,3.5,2014,660,عطر شمس نارسيسوس,Shams Narcissus
1738,Mancera,مانسيرا,Kumkat Wood,كومكات وود,3.93,3.6,3.1,2013,355,عطر كومكات وود,Kumkat Wood
1739,Mont Blanc,مونت بلانك,Lady Emblem Elixir,ليدي امبليم الكسير,3.83,3.5,3.4,2016,220,عطر ليدي امبليم الكسير,Lady Emblem Elixir
1740,Nicolai,نيكولاي,Cuir Cuba Intense Parfumeur Createur,كيور كوبا انتنس,3.93,3.6,3.1,2014,450,عطر كيور كوبا انتنس,Cuir Cuba Intense Parfumeur Createur
1741,Pana Dora,بانا دورا,Patchouli Dust,باتشولي دوست من بانادورا,3.93,3.7,3,2023,780,عطر باتشولي دوست من بانادورا,Patchouli Dust
1742,Valentino,فالنتينو,Uomo Acqua,اومو اكوا الرجالي,4.13,3.2,3.1,2017,460,عطر اومو اكوا الرجالي,Uomo Acqua
1743,Amouroud,امور عود,Midnight Rose,ميدنايت روز,4.03,3.3,3.2,2016,490,عطر ميدنايت روز,Midnight Rose
1744,Boucheron,بوشرون,Quatre,كواتر النسائي,4.03,3.3,3.2,2015,270,عطر كواتر النسائي,Quatre
1745,Guerlain,غيرلان,L’Homme Ideal,لي هوم ايديل الرجالي,4.18,3.4,2.8,2014,10,عطر لي هوم ايديل الرجالي,L’Homme Ideal
1746,Histoires De Parfums,هيستورا,Noir Patchouli,هيستوريس نوار باتشولي,3.78,3.7,3.3,,450,عطر هيستوريس نوار باتشولي,Noir Patchouli
1747,Prada,برادا,Femme Water Splash,لا فيمي واتر سبلاش النسائي,3.93,3.4,3.3,2019,370,عطر لا فيمي واتر سبلاش النسائي,Femme Water Splash
1748,nasamat najd,نسمات نجد,GINGER,جينجر,4.38,3,2.8,2024,10,عطر جينجر,GINGER
1749,Bentley,بنتلي,Momentum,مومنتم,3.77,3.6,3.4,2017,190,عطر مومنتم,Momentum
1750,Electimuss,الكتيموس,Mercurial Cashmere,اليكتيموس كاشميري بيور,4.12,3.4,2.9,2021,750,عطر اليكتيموس كاشميري بيور,Mercurial Cashmere
1751,Etienne Aigner,اجنر,Black,بلاك,4.07,3.4,3,2005,215,عطر بلاك,Black
1752,JeanPaulGaultie,جان بول غولتير,Belle Fleur Terrible Jean Paul Gaultier,لا ييل فلير تريبل,4.07,3.5,2.9,2022,580,عطر لا ييل فلير تريبل,Belle Fleur Terrible Jean Paul Gaultier
1753,Kenzo,كنزو,Homme Indigo,كينزو هوم إنديغو,3.97,3.7,2.9,2025,260,عطر كينزو هوم إنديغو,Homme Indigo
1754,Lorenzo Villo,لورينزو فيلوريسي,Villoresi ALAMUT,ألموت من,3.97,3.5,3.1,2006,480,عطر ألموت من,Villoresi ALAMUT
1755,The Woods,ذا وودز كوليكشن,Collection Eden,كولكشن إيدن,4.07,3.4,3,2018,10,عطر كولكشن إيدن,Collection Eden
1756,V Canto,في كانتو,Psiche V,بيشي,3.67,3.8,3.4,2020,940,عطر بيشي,Psiche V
1757,Acqua Di Parma,اكوا دي بارما,Essenza di Colonia di,ايسنزا,4.32,3.2,2.7,2010,470,عطر ايسنزا,Essenza di Colonia di
1758,Acqua Di Parma,اكوا دي بارما,Oud & Spice di,عود أند سبايس من,3.92,3.7,3,2021,730,عطر عود أند سبايس من,Oud & Spice di
1759,Diptyque,ديبتيك,Tempo,تيمبو,4.17,3.4,2.8,2018,330,عطر تيمبو,Tempo
1760,Montale,مونتال,Soleil de Capri,سولي كابري,3.97,3.4,3.2,,340,عطر سولي كابري,Soleil de Capri
1761,Ormonde Jayne,اورموند جين,Man,ارموند مان من,4.22,3.3,2.8,2004,850,عطر ارموند مان من,Man
1762,The Woods,ذا وودز كوليكشن,Panorama Collection,وود كولكشن بانوراما,4.27,3.3,2.7,2020,10,عطر وود كولكشن بانوراما,Panorama Collection
1763,BDK Parfums,بي دي كي,Gris Charnel,جريس شارنيل,4.21,3.4,2.7,2019,15,عطر جريس شارنيل,Gris Charnel
1764,BVLGARI,بولغاري,Gemme Rubinia,لو جيم روبينيا,3.81,3.6,3.3,2018,15,عطر لو جيم روبينيا,Gemme Rubinia
1765,BVLGARI,بولغاري,Rubinia,روبينيا إصدار خاص,3.81,3.6,3.3,2018,350,عطر روبينيا إصدار خاص,Rubinia
1766,Bentley,بنتلي,Momentum Unlimited,مومنتم انلميتيد,3.96,3.4,3.2,2018,190,عطر مومنتم انلميتيد,Momentum Unlimited
1767,Caron,كارون,Poivre Sacre,سكير,3.91,3.7,3,2022,16,عطر سكير,Poivre Sacre
1768,Chanel,شانيل,Allure Homme Sport,الور اوم سبورت,4.26,3.2,2.8,2004,15,عطر الور اوم سبورت,Allure Homme Sport
1769,Dior,كريستيان ديور,Happy Hour,هابي اور من,4.31,2.9,3,2018,16,عطر هابي اور من,Happy Hour
1770,Giorgio Armani,ارماني,Emporio In Love With You,امبوريو ان لوف ويذ يو النسائي,3.76,3.6,3.4,2018,370,عطر امبوريو ان لوف ويذ يو النسائي,Emporio In Love With You
1771,Gucci,قوتشي,The Eyes Of The Tiger,ذا آيز أوف تايجر,4.06,3.5,2.9,2019,1100,عطر ذا آيز أوف تايجر,The Eyes Of The Tiger
1772,Guerlain,غيرلان,Oud Nude,عود نود,4.21,3.4,2.7,2022,260,عطر عود نود,Oud Nude
1773,Halloween,هالوين,Man X,مان اكس,4.21,3.4,2.7,2019,250,عطر مان اكس,Man X
1774,Initio,انيشيو,Musk Therapy Parfums Prives,مسك ثيرابي اكسترايت,4.21,3.5,2.6,2021,330,عطر مسك ثيرابي اكسترايت,Musk Therapy Parfums Prives
1775,JeanPaulGaultie,جان بول غولتير,Beau Le Parfum Jean Paul Gaultier,لو بو الرجالي انتنس,4.31,3.2,2.7,2019,460,عطر لو بو الرجالي انتنس,Beau Le Parfum Jean Paul Gaultier
1776,Lalique,لاليك,Terres Aromatiques,بريمير تيريز اروماتيك نوار,4.16,3.2,3,2014,420,عطر بريمير تيريز اروماتيك نوار,Terres Aromatiques
1777,MEMO PARIS,ميمو باريس,Madurai,مادوراي,4.06,3.5,2.9,2022,700,عطر مادوراي,Madurai
1778,MEMO PARIS,ميمو باريس,Marfa,مارفا اوديو,3.91,3.6,3.1,2016,590,عطر مارفا اوديو,Marfa
1779,Min New York,مين نيويورك,Shaman,شامان,3.91,3.5,3.2,2014,16,عطر شامان,Shaman
1780,Nishane,نيشاني,Deziro,ديزيرو اكسترايت,4.01,3.6,2.9,2024,800,عطر ديزيرو اكسترايت,Deziro
1781,Ormonde Jayne,اورموند جين,Tolu,ارموند تولو,4.06,3.5,2.9,2002,1000,عطر ارموند تولو,Tolu
1782,Parfums de Marly,مارلي,Delina La Rosee,ديلينا لا روز,4.16,3.4,2.8,2021,770,عطر ديلينا لا روز,Delina La Rosee
1783,Parfums de Marly,مارلي,E,ديلينا لا روزي,4.16,3.4,2.8,2021,500,عطر ديلينا لا روزي,E
1784,Prada,برادا,Femme Leau,لافام ليو الزهري,3.96,3.4,3.2,2017,320,عطر لافام ليو الزهري,Femme Leau
1785,Ramon Monegal,رامون مونيجال,Impossible Iris,امبوسيبول آيريس,3.96,3.4,3.2,2010,600,عطر امبوسيبول آيريس,Impossible Iris
1786,S T Dupont,ديبون,Passenger S.T.,اس تي باسنجر,4.01,3.5,3,2008,140,عطر اس تي باسنجر,Passenger S.T.
1787,TOM FORD,توم فورد,Noir,نوار الاسود الرجالي,4.06,3.5,2.9,2012,570,عطر نوار الاسود الرجالي,Noir
1788,Tauer Perfumes,اندي تاور,L'Air Des Alpes Suisses,هواء جبال الألب السويسري,4.06,3.5,2.9,2019,880,عطر هواء جبال الألب السويسري,L'Air Des Alpes Suisses
1789,V Canto,في كانتو,Cor Gentile V,كور جينتيل,3.96,3.3,3.3,2015,550,عطر كور جينتيل,Cor Gentile V
1790,Van Cleef,فان كليف اند اربلز,&Arpels So First,سو فيرست,3.91,3.4,3.3,2016,250,عطر سو فيرست,&Arpels So First
