rank,brand,brand_ar,name_en,name_ar,rating,longevity,projection,year,price_ref,keyword_ar,keyword_en
848,Yves Saint Laur,ايف سان لوران,LAURENT Cuir Le Vestiaire Des Parfums,كوير لو فيستيير,4.25,3.5,3.4,2016,900,عطر كوير لو فيستيير,LAURENT Cuir Le Vestiaire Des Parfums
849,Acqua Di Parma,اكوا دي بارما,Note di Colonia IV di,نوت,4.35,3.6,3.1,2017,500,عطر نوت,Note di Colonia IV di
850,Acqua Di Parma,اكوا دي بارما,Note di Colonia IV di IV,نوت,4.35,3.6,3.1,2017,14,عطر نوت,Note di Colonia IV di IV
851,FREDERIC MALLE,فريدريك مال,Musc Ravageur,مسك رافاجيور,4.2,3.8,3.2,2000,865,عطر مسك رافاجيور,Musc Ravageur
852,Francesca Bia,فرانشيسكا بيانكي,Sticky Fingers Bianchi,ستيكي فينقرس من,4.1,3.9,3.3,2020,30,عطر ستيكي فينقرس من,Sticky Fingers Bianchi
853,Giorgio Armani,ارماني,Intense,انتنس,3.8,4,3.8,2014,450,عطر انتنس,Intense
854,Gucci,قوتشي,Rush,رش الاحمر,3.8,4,3.8,1999,300,عطر رش الاحمر,Rush
855,Montale,مونتال,Red Vetiver,رد فيتيفر,3.8,4,3.8,,340,عطر رد فيتيفر,Red Vetiver
856,Parfums de Marly,مارلي,Godolphin,غودولفين,4.1,3.9,3.3,2010,590,عطر غودولفين,Godolphin
857,Roja Parfums,روجا بارفيومز,Scandal Parfum,سكاندل,3.95,3.8,3.7,2011,1800,عطر سكاندل,Scandal Parfum
858,TizianaTerenzi,تيزيانا تيرينزي,Tiziana Terenzi Cas,كاس اكسترايت,3.9,3.9,3.7,2015,750,عطر كاس اكسترايت,Tiziana Terenzi Cas
859,TizianaTerenzi,تيزيانا تيرينزي,Tiziana Terenzi Eclix,اكليكس اكسترايت,3.8,4,3.8,2017,650,عطر اكليكس اكسترايت,Tiziana Terenzi Eclix
860,TizianaTerenzi,تيزيانا تيرينزي,Tiziana Terenzi Lillipur,ليليبور اكسترايت,3.8,4,3.8,2013,600,عطر ليليبور اكسترايت,Tiziana Terenzi Lillipur
861,Acqua Di Parma,اكوا دي بارما,Colonia Oud di,عود المركز,4.19,3.7,3.3,2012,630,عطر عود المركز,Colonia Oud di
862,Carolina Herra,كارولينا هيريرا,Herrera Oud Couture,عود كوتور,4.14,3.7,3.4,2015,950,عطر عود كوتور,Herrera Oud Couture
863,Hermes,هيرمس,24 Faubourg,فوبورج من هرمز,3.99,3.9,3.5,1995,490,عطر فوبورج من هرمز,24 Faubourg
864,Hermes,هيرمس,Faubourg 24,فوبورغ,3.99,3.9,3.5,1995,600,عطر فوبورغ,Faubourg 24
865,Matiere Premier,ماتيري بريمير,Encens Suave Premiere,انسنس سواف,4.24,3.8,3.1,2019,850,عطر انسنس سواف,Encens Suave Premiere
866,Robert Piguet,روبرت بيغيه,Visa,روبيرت بيجيه فيزا,4.19,3.6,3.4,2007,500,عطر روبيرت بيجيه فيزا,Visa
867,Guerlain,غيرلان,Absolus Tabac Sahara Amira,جيرلان ابسولو اليغوريا تاباك صحارى,3.84,4.1,3.6,2026,800,عطر جيرلان ابسولو اليغوريا تاباك صحارى,Absolus Tabac Sahara Amira
868,Lancome,لانكوم,Vie Est Belle,لافي اي بل,3.64,4.1,4,2012,320,عطر لافي اي بل,Vie Est Belle
869,Louis Vuitton,لويس فيتون,LImmensite,ليمنست,4.34,3.7,3,2018,1100,عطر ليمنست,LImmensite
870,Robert Piguet,روبرت بيغيه,Fracas,روبيرت بيجيه فراكاس دى,4.04,3.8,3.5,1948,580,عطر روبيرت بيجيه فراكاس دى,Fracas
871,Versace,فرزاتشي,L'Homme,لي هوم البني الرجالي,3.79,4,3.8,1984,170,عطر لي هوم البني الرجالي,L'Homme
872,Armaf,ارماف,Club de Nuit Intense Man,أرماف كلوب نويت إنتينس,4.08,3.8,3.4,2015,180,عطر أرماف كلوب نويت إنتينس,Club de Nuit Intense Man
873,Giardini,جاردن دي توسكانا,Blu Mare Di Toscana,جيارديني بلو ماري,3.58,4.3,3.9,2024,260,عطر جيارديني بلو ماري,Blu Mare Di Toscana
874,Giorgio Armani,ارماني,Prive Vert,بريف فيرت,4.13,3.7,3.4,2016,150,عطر بريف فيرت,Prive Vert
875,Giorgio Armani,ارماني,Prive Vert Malachite,برايف فيرت ملاكيت,4.13,3.7,3.4,2016,20,عطر برايف فيرت ملاكيت,Prive Vert Malachite
876,Roja Parfums,روجا بارفيومز,Innuendo,أن يوندا دى بيرفيوم,4.23,3.5,3.4,2012,1800,عطر أن يوندا دى بيرفيوم,Innuendo
